company name,Current clients,Days per week of sanitation services,Hours logged by sanitation workers,Hours logged by public safety officers,Special event charges,Miscellaneous charges,Sanitation expenses,Public safety expenses,Streetscape & beautification expenses,Salaries,Outside contractor expenses,Insurance costs,Supplies and equipment costs,Total Quotation,Number_Of_Sanitation_Activities,Beautification_Activities,Media_Reach,Total_Staff,Sanitation_services_provided_Yes,Beautification_services_provided_Yes
Signal Construction Provider,898,7,40768,5195,442174,53979,343617,26239,191155,1016614,135582,10744,7547,614990,163641,869,12856454,75,1,1
Analysis Technology Data,459,7,91852,5195,121123,37472,91510,202845,57256,980031,12268,61599,18623,389083,217399,498,30729509,113,1,1
West Resource Contract,686,7,60760,37596,360146,16597,76298,40758,39240,194137,101367,2034,3712,172893,89937,574,-1934378,49,1,1
Net Consulting Industries,686,7,48382,44648,360146,14962,574635,293643,187628,1189044,72652,75662,13045,1070868,146775,615,45456888,36,1,1
Design Construction Federated,1383,1,34664,106552,449206,50160,547785,109737,198613,497543,18201,72530,13330,906295,274266,664,44436186,89,1,1
Research Electronics General,480,7,163719,128036,192313,103336,566319,114287,237614,376999,120228,73740,12637,1021556,250472,267,26700605,109,1,1
Innovation Bell Universal,1677,7,53421,68628,281710,116304,342238,161257,127476,255298,8714,63135,16232,747275,160325,768,18894267,83,1,1
Bell Hill Consulting,1222,5,123631,68628,9795,112008,116189,118960,63129,1076966,10137,23192,5035,410286,74300,721,67581412,119,1,1
Hill West Analysis,513,7,161620,64581,196511,31035,540550,127417,160797,377039,114343,88713,18898,859799,43706,546,54403604,82,1,1
Omega Resource Contract,858,6,137851,52943,402157,22228,502844,20450,175889,412640,6777,89846,17310,721411,131413,337,2024453,31,1,1
Hardware Net Research,3580,7,74139,125834,281710,27336,169928,86672,10267,325474,87047,68405,18123,294203,256270,935,1232534,38,1,1
Net South Electronic,3580,7,33909,37084,360146,14892,574588,293635,187640,1189003,72646,75702,13006,1070755,146725,663,42473792,36,1,1
Design People Contract,1190,7,58568,69474,281710,116281,342266,161235,127503,255302,8689,63131,16169,747285,160349,834,18748165,59,1,1
Consulting Systems Electronics,3146,7,81575,123497,281710,27388,169949,86629,10238,325516,87083,68431,18136,294204,256322,1006,1058205,46,1,1
Pacific Technology Interactive,3146,7,99034,123497,454427,70640,167308,324768,105335,1036691,29268,72810,8362,668051,217881,492,12499369,115,1,1
Federated Source Net,183,5,125129,123497,454427,71829,258628,87112,91176,1178088,141770,6929,1553,508745,81553,825,39040153,55,1,1
General Universal Max,1219,5,101959,123497,30373,22116,86764,306562,209565,590069,63102,109177,6937,625007,138407,670,22071031,149,1,1
Adventure Frontier Solutions,882,7,88697,73344,206317,61743,339999,320745,56496,984519,98053,63799,4379,778983,153066,994,13478883,22,1,1
Source Adventure Advanced,882,7,146469,73344,167592,104223,418744,324567,24323,1064685,132207,100519,19286,871857,195537,679,16104412,67,1,1
Atlantic Omega Consulting,1399,7,38299,113298,167592,63403,277699,44283,79364,436504,139756,76731,13404,464749,262526,976,541435,139,1,1
South Electronics Data,927,7,57810,124543,403576,15317,370813,109733,147245,621176,45829,64489,11014,643108,93062,330,67848580,105,1,1
Architecture Hardware Solutions,362,7,121862,106881,281710,47082,449047,256992,181675,1178437,3783,69510,5877,934796,196609,696,26945239,90,1,0
Network Atlantic Analysis,324,7,136155,106881,9795,20675,328613,118955,45453,280392,10181,101048,4222,513696,162341,588,8377881,100,1,1
Application Adventure Internet,643,7,102414,102343,281710,47070,449098,256958,181665,1178394,3790,69530,5844,934791,196652,728,27238237,91,1,0
Design Max Hardware,434,7,145772,102343,9795,20627,328578,118977,45440,280415,10133,101078,4197,513622,162250,586,4494185,112,1,1
Power East Frontier,844,7,67977,123152,403576,15337,370755,109696,147301,621166,45789,64456,11047,643089,93095,409,62094289,72,1,1
Contract Construction Vision,844,7,27020,50738,449206,47222,428087,109743,41826,341475,1159567,16702,17200,626878,106347,479,26943513,83,1,1
People Adventure Alpha,462,7,27237,50738,76796,95137,442538,34006,59043,785058,74705,9844,15967,630724,143414,831,10872681,25,1,0
Hill Internet Architecture,454,7,69850,14252,281710,64100,316460,133316,27314,1189510,73712,78156,17962,541190,164572,663,5605850,96,1,1
Graphics Solutions Architecture,747,7,117140,14252,19576,59422,177330,236775,168163,661103,54656,89439,17094,641690,99724,411,64773077,77,1,1
Star Signal Net,688,7,154889,124770,192313,103328,566328,114313,237593,377018,120229,73700,12640,1021562,250432,279,32473975,97,1,1
Innovation Source Electronic,1282,7,53409,114595,167592,63353,277691,44306,79384,436482,139743,76760,13393,464734,262534,905,884433,160,1,1
Star Direct Provider,1128,7,162951,114595,225721,114153,568047,87079,158007,661113,141780,52451,9657,927286,240872,969,32875489,80,1,1
Universal Studio West,704,1,40946,108955,449206,50176,547803,109743,198667,497606,18213,72490,13346,906389,274250,564,43368231,91,1,1
Application Power Future,3378,7,77551,120755,281710,27358,169925,86669,10271,325513,87029,68410,18116,294223,256267,913,972200,71,1,1
Systems Data Net,1007,5,88044,120755,30373,22060,86754,306584,209528,590072,63138,109163,6954,624926,138365,624,31219803,123,1,1
Hill Source Alpha,173,7,80926,28127,360146,16602,76304,40756,39177,194138,101415,2047,3719,172839,89968,589,4819786,57,1,1
Galaxy Graphics Star,388,7,138410,28127,9795,113389,317147,78614,92341,202139,99165,77444,19105,601491,92366,767,8563996,154,1,0
Venture Graphics Architecture,665,7,80203,27673,360146,16610,76284,40752,39171,194176,101365,2056,3733,172817,90004,626,6608334,67,1,1
Signal Innovation Federated,1375,7,130411,32580,281710,25142,441243,146641,119316,254100,7346,112669,5305,732342,79603,661,34531836,126,1,0
Application Virtual People,367,7,136724,32580,403576,76408,494798,29629,235396,568933,63604,63510,16874,836231,108121,1249,11844109,38,1,1
Electronics Analysis People,830,7,126085,32580,403576,36695,61606,337224,190488,989862,67674,39981,20053,626013,125374,346,1393867,56,1,1
Analysis Power Omega,830,7,160436,32580,423722,81999,327006,261844,201075,1174494,141086,90611,19653,871924,246175,606,11896103,99,1,1
Power Atlantic East,405,7,82062,32580,121123,37497,91525,202825,57250,980004,12234,61651,18686,389097,217430,477,37016567,123,1,1
Hardware Star Direct,1351,7,73736,71629,281710,116283,342242,161229,127511,255282,8738,63114,16214,747265,160282,741,22994628,47,1,1
Architecture People Star,552,6,159516,58867,402157,22262,502839,20480,175867,412643,6821,89894,17316,721448,131417,347,851107,50,1,1
Digital Atlantic Virtual,230,7,60143,1384,211646,122125,328330,276041,172224,776912,15210,27236,2239,898720,105599,785,12060876,99,1,1
Digital Federated Speed,756,7,149839,91004,360146,71191,82425,9162,45000,745967,141835,68754,19327,207778,61963,1009,34722801,50,0,0
Speed Bell Design,1520,7,44117,107978,167592,63376,277680,44338,79336,436502,139718,76797,13439,464730,262518,816,888702,150,1,1
Frontier Interactive Max,1009,5,137320,107978,9795,111983,116194,118954,63110,1077005,10164,23220,5067,410241,74230,662,66791062,115,1,1
Contract Design Speed,1009,7,23969,47544,449206,47219,428070,109716,41795,341493,1159537,16669,17155,626800,106481,553,28038344,105,1,1
Atlantic Resource Software,298,7,63582,23717,360146,16564,76311,40771,39195,194135,101418,2036,3758,172841,90010,606,647676,44,1,1
Hardware Application Studio,280,7,136487,92971,360146,71180,82466,9167,44997,745934,141829,68816,19269,207810,61954,984,30601095,9,0,0
Internet Technology Application,280,7,128487,79407,403576,54419,231260,196579,25147,238737,63404,69919,13636,507405,54679,376,38602571,84,1,1
Construction Adventure Hill,280,7,128487,79407,211646,122141,328310,276058,172240,776963,15200,27299,2173,898749,54679,376,38602571,84,1,1
Provider Galaxy South,221,7,146766,92092,360146,71151,82422,9217,45006,745934,141802,68808,19306,207796,61957,965,38162964,42,0,0
General Resource Future,583,7,63752,103240,127292,99178,113925,20471,197239,1029581,15018,11373,12066,430813,201139,287,13042853,46,1,1
East Resource Advanced,859,7,91822,57908,217535,111265,294255,249853,244789,921617,58992,71329,7961,900162,267236,524,6042640,29,1,0
Telecom Net Data,318,7,89117,57908,19576,59492,177345,236749,168195,661099,54659,89474,17125,641781,99693,368,71720021,146,1,1
Venture Construction Medicine,739,7,104391,63924,217535,111290,294233,249876,244757,921618,59004,71354,7915,900156,267262,552,6279638,54,1,0
Speed Software Provider,249,7,183562,18344,34603,19573,457916,69671,61882,1107385,94791,43742,11314,609042,173532,1185,14345768,169,1,1
Net Source Building,1902,7,148629,66941,423722,19300,467931,340729,38967,1155411,21485,86417,20780,866927,137320,169,18879012,68,1,1
Power Galaxy Electronic,937,7,53096,91029,217535,71689,68085,287354,86979,916902,137438,96637,16969,514107,125887,537,7117689,108,1,1
North Construction Solutions,648,7,101659,20493,449206,29965,353061,53975,37460,660201,132351,104800,9400,474461,214421,330,5872260,25,1,1
General Max Hardware,456,7,79162,37354,281710,85020,157480,53946,126254,660273,140081,1722,9694,422700,259271,751,3383992,159,1,1
Atlantic Innovation Max,434,7,69590,132252,19576,1315,560380,71889,233562,776111,61017,89701,2520,867146,243463,686,4504286,86,1,1
Industries General Design,1073,7,164729,132252,225721,114171,568060,87079,158026,660267,141763,52396,9697,927336,240941,1007,25246686,58,1,1
Hardware Electronic Federated,784,3,77471,132252,196511,49228,322531,204896,236489,1189604,111421,89872,2627,813144,123932,708,9118074,94,1,0
General Hardware Frontier,3647,7,79444,118103,281710,27355,169923,86640,10280,325496,87057,68447,18127,294198,256234,946,1306412,50,1,1
Analysis Software Venture,537,7,142337,118103,9795,20639,328571,118969,45460,280441,10192,101110,4175,513639,162326,549,4660353,118,1,1
Telecom Analysis Hardware,921,7,170577,15908,34603,19524,457894,69681,61894,1107440,94824,43791,11319,608993,173527,1082,8402294,100,1,1
Omega Hardware Electronics,921,7,28107,118150,34603,75234,365017,262608,173852,565131,55530,30833,16156,876711,36500,1153,41957686,125,1,1
Research Venture Studio,1014,7,75976,33443,281710,85018,157518,54006,126320,660273,140064,1729,9667,422862,259212,717,1920777,118,1,1
Venture Federated Direct,705,1,55181,101696,449206,50140,547830,109751,198615,497555,18256,72483,13315,906336,274329,574,44124016,73,1,1
Construction Net South,705,7,55181,101696,211646,122159,328317,276008,172241,776976,15189,27293,2172,898725,274329,574,44124016,73,1,1
East Consulting Vision,390,7,48503,32358,20214,80402,502384,229170,78452,733655,130441,21224,13076,890408,86734,860,37216747,67,1,1
Building Federated Application,916,7,71768,119858,403576,15345,370759,109744,147298,621195,45789,64487,10998,643146,93016,466,62613829,69,1,1
Alpha Frontier Network,2061,7,124442,36556,281710,25180,441208,146642,119353,254087,7311,112738,5280,732383,79671,674,34549722,145,1,0
Solutions Electronics Galaxy,621,7,54431,115341,76796,9718,93108,179271,75575,841334,69477,40092,1013,357672,261990,436,16129401,88,1,1
Pacific Industries Innovation,2164,7,147934,72774,423722,19291,467983,340789,38958,1155456,21492,86408,20781,867021,137419,137,16775832,98,1,1
Contract Building South,689,7,155045,70891,196511,31068,540503,127395,160832,377048,114313,88728,18906,859798,43662,435,47859356,65,1,1
Signal Vision Construction,908,7,66202,103130,167592,84324,89730,261575,65179,37497,132169,80580,12322,500808,129653,784,34248888,142,1,1
Adventure Application Telecom,908,7,66202,103130,211646,122174,328337,276002,172200,776914,15181,27297,2166,898713,129653,784,34248888,142,1,1
Hill Venture Design,908,7,77463,31643,232796,38802,433010,340554,76840,849216,79920,15807,16492,889206,66731,707,10725339,66,1,1
Max Star Alpha,908,7,37352,2262,442174,54005,343580,26238,191156,1016583,135561,10739,7572,614979,163635,831,13789426,79,1,1
Vision Bell Atlantic,899,6,140631,47813,402157,22242,502787,20435,175881,412610,6812,89893,17368,721345,131404,363,68150,13,1,1
Technology Data Omega,701,5,122011,47813,9795,111963,116221,119001,63091,1076984,10123,23161,5033,410276,74262,585,76001791,117,1,1
Speed South Atlantic,543,7,160459,97476,360146,71172,82410,9155,44944,745928,141842,68807,19303,207681,62013,941,36276274,70,0,0
Power Telecom Data,364,7,63330,14566,211646,122137,328348,276039,172262,776947,15205,27235,2201,898786,105582,818,11970328,64,1,1
Interactive Universal Alpha,364,7,177925,14566,423722,82033,327023,261859,201083,1174463,141079,90591,19601,871998,246062,637,10056112,126,1,1
Speed Alpha Application,215,7,35123,14566,76796,95090,442591,34066,59019,785088,74725,9839,15957,630766,143509,753,2903745,83,1,0
Studio Vision South,1197,7,134561,14566,403576,36720,61638,337189,190508,989872,67682,39959,20086,626055,125328,310,2455953,71,1,1
East Industries Medicine,1443,7,71826,77259,281710,116281,342249,161274,127516,255343,8712,63136,16209,747320,160314,775,23610239,57,1,1
Atlantic Design Data,1786,7,80764,67470,281710,116297,342220,161256,127540,255350,8750,63139,16177,747313,160354,748,24210095,68,1,1
Application Interactive Electronics,893,7,57294,36026,281710,85036,157485,53966,126295,660269,140045,1719,9701,422782,259335,726,1323036,141,1,1
Software Graphics Design,893,7,19652,48386,449206,47190,428067,109749,41816,341507,1159549,16701,17137,626822,106472,443,26532551,72,1,1
People Studio Innovation,875,5,103618,48386,30373,22055,86788,306543,209527,590089,63123,109143,6892,624913,138361,661,30680688,147,1,1
Power Interactive Pacific,571,7,77309,31114,360146,16564,76303,40767,39177,194129,101417,2011,3765,172811,89982,553,4819038,52,1,1
Direct West Omega,938,7,101040,31114,19576,59482,177357,236732,168177,661061,54676,89440,17151,641748,99769,314,58215521,117,1,1
Galaxy Max Contract,1989,7,126254,35916,281710,25200,441196,146640,119375,254106,7302,112712,5281,732411,79594,645,38249456,76,1,0
Application Virtual Alpha,707,1,130967,35916,211646,98748,151776,34039,219698,1106731,15212,57467,18482,504261,87230,1072,9771401,70,1,1
Star Venture Software,856,7,175959,17885,34603,19552,457892,69733,61915,1107418,94809,43759,11275,609092,173510,1107,10228985,140,1,1
Net Vision Analysis,856,7,87351,17885,454427,70621,167261,324815,105295,1036737,29296,72830,8391,667992,217921,473,15975109,81,1,1
Software Hardware Venture,372,7,53319,129620,403576,15355,370810,109745,147301,621203,45806,64452,11047,643211,93048,370,64237525,110,1,1
Omega Building Net,788,7,112431,100244,281710,47128,449036,256946,181711,1178391,3770,69530,5879,934821,196662,651,33020762,149,1,0
Pacific Frontier Source,453,7,54261,30653,281710,85050,157536,54007,126309,660235,140055,1721,9652,422902,259289,783,2462298,96,1,1
Systems Frontier Electronics,601,7,146805,30653,9795,113384,317097,78573,92360,202141,99168,77497,19142,601414,92355,741,12946925,134,1,0
Omega Universal General,1204,7,55194,107785,76796,9700,93073,179242,75575,841289,69435,40153,1031,357590,261911,425,17219770,103,1,1
Adventure Galaxy Universal,365,7,100110,20433,449206,29976,353047,276035,37420,776973,132319,104778,9350,696478,214495,417,8511340,61,1,1
Bell Power Telecom,1082,7,70796,30506,281710,85056,157472,53997,126300,660252,140051,1741,9653,422825,259225,721,1486943,135,1,1
Technology Data Adventure,2338,7,141470,70075,423722,19312,467961,340737,39017,1155466,21508,86435,20777,867027,137439,138,16300755,43,1,1
Industries North Federated,214,7,109897,23628,449206,29976,353051,53965,37466,660228,132291,104784,9339,474458,214435,387,8952892,80,1,1
Bell North South,1082,7,141541,23628,403576,36669,61648,337255,190492,989879,67645,39955,20059,626064,125305,386,1412139,71,1,1
Galaxy Max Omega,947,7,174032,12085,34603,19545,457845,69727,61880,1107392,94829,43774,11269,608997,173521,1158,11297541,117,1,1
Electronic Systems Solutions,671,7,94216,23877,449206,29986,353067,53992,37436,660203,132350,104784,9381,474481,214488,350,7319188,52,1,1
Electronics Data Electronic,573,5,129438,23877,454427,71837,258659,87071,91168,1178050,141735,6965,1537,508735,81510,786,41731341,43,1,1
Venture Medicine Internet,562,7,103062,23877,121123,37475,91530,202863,57258,980052,12275,61587,18628,389126,217355,356,35120554,103,1,1
Network Application Adventure,924,7,59763,125322,19576,1368,560352,71912,233523,776083,61056,89725,2519,867155,243457,676,3921155,65,1,1
Application Construction Signal,854,7,52156,39165,360146,85082,157516,53944,126289,660248,140085,1706,9681,422831,259187,760,1866065,127,1,1
Telecom North Max,445,7,60429,96101,217535,71727,68113,287378,86968,916918,137427,96676,17009,514186,125935,583,7078587,89,1,1
Consulting Internet Data,611,7,137118,96101,19576,102250,508788,26272,51588,600543,21439,53746,10679,688898,160112,398,14707629,102,1,1
Graphics Provider Construction,933,7,54500,101809,336921,8575,566665,31466,131732,700096,58302,21575,2656,738438,75879,675,25561262,94,1,1
Studio Solutions Universal,606,7,61457,126841,19576,1306,560380,71880,233544,776143,61010,89718,2524,867110,243419,685,3217685,69,1,1
Source Systems Frontier,533,7,73162,41786,281710,85080,157471,53976,126296,660266,140081,1734,9693,422823,259242,789,1214698,150,1,1
Contract Pacific General,533,7,19525,51966,449206,47230,428080,109709,41808,341548,1159546,16701,17135,626827,106422,463,31361015,92,1,1
Vision Construction Power,533,7,19525,51966,211646,122136,328303,276042,172216,776933,15229,27236,2196,898697,106422,463,31361015,92,1,1
Signal North Telecom,1993,7,101818,66485,281710,31018,165525,116062,47355,1081532,105658,68455,16335,359960,234555,456,9097980,39,1,1
Frontier West West,530,7,26129,75575,360146,68304,82456,169073,180074,425477,72154,70649,14753,499907,194263,551,20413114,155,1,1
Universal General Studio,848,7,170012,75575,225721,114105,568068,87092,157967,661067,141736,52456,9708,927232,240888,990,35429543,99,1,1
East Contract Resource,848,7,170012,75575,211646,122128,328295,276003,172256,776963,15236,27302,2174,898682,240888,990,35429543,99,1,1
Advanced Provider Interactive,848,7,101699,30365,232796,38800,433033,340503,76864,849193,79932,15798,16490,889200,66747,715,10155874,32,1,1
Bell Analysis Internet,1258,7,29668,112906,167592,63335,277627,44329,79368,436463,139740,76754,13460,464659,262523,850,392523,146,1,1
Resource Building Future,260,7,94154,112906,19576,59445,177350,236746,168229,661067,54713,89437,17155,641770,99804,389,58829452,84,1,1
Innovation Design Star,659,7,173708,14160,34603,19591,457875,69729,61923,1107402,94829,43727,11283,609118,173508,1081,8097653,103,1,1
Consulting Power Systems,644,3,86360,14160,196511,49242,322527,204952,236533,1189601,111452,89850,2567,813254,123866,793,10707389,114,1,0
Alpha Building Pacific,576,7,161376,89734,360146,71121,82471,9154,44962,745977,141842,68774,19292,207708,62017,860,33865371,26,0,0
Vision Alpha Electronics,918,3,155326,42321,196511,100264,338954,204883,20850,1157940,38776,9406,5642,664951,147381,474,10758812,95,1,1
Technology Architecture Star,918,7,82017,42321,454427,70587,167242,324785,105344,1036721,29296,72813,8386,667958,217945,501,12247300,156,1,1
Federated Innovation Data,918,7,129075,83979,403576,54418,231263,196601,25141,238679,63368,69929,13630,507423,54635,401,37327589,70,1,1
Electronics Power Omega,1643,7,120171,88473,196511,2169,439344,122306,56501,545779,38805,17470,19725,620320,135122,174,57154342,80,1,0
Network Electronics Virtual,1087,5,85442,88473,30373,22120,86803,306569,209553,590134,63074,109134,6921,625045,138412,577,30813779,111,1,1
Interactive Vision Alpha,1274,7,47549,109578,167592,63345,277678,44295,79392,436450,139741,76740,13441,464710,262565,794,131258,144,1,1
Galaxy Network Source,767,7,27257,74699,360146,68307,82462,169102,180092,425448,72142,70662,14731,499963,194291,531,21049790,133,1,1
Industries Provider Alpha,793,7,59161,4521,211646,122162,328282,276049,172193,776952,15168,27265,2192,898686,105700,807,15648303,108,1,1
Electronics Speed Industries,793,7,33523,46093,449206,47197,428069,109730,41841,341544,1159516,16690,17193,626837,106470,334,34123790,46,1,1
Adventure Application Power,857,7,133900,46093,403576,76437,494796,29653,235418,568950,63540,63546,16821,836304,108135,1145,19002333,31,1,1
Adventure Resource General,1002,3,166840,37576,196511,100272,338948,204908,20843,1157957,38791,9374,5681,664971,147354,393,12662462,21,1,1
Resource Universal Graphics,790,7,182104,15878,34603,19558,457845,69678,61914,1107447,94827,43788,11291,608995,173541,1080,9466311,144,1,1
People East Construction,2301,7,131696,70997,423722,19284,467962,340779,38948,1155430,21461,86389,20830,866973,137421,55,16018153,57,1,1
Vision Resource Venture,782,7,80634,36512,360146,16596,76257,40729,39183,194165,101403,2019,3766,172765,89868,594,4422479,84,1,1
Direct Internet Software,797,7,114498,99132,281710,47102,449044,256933,181663,1178414,3773,69506,5868,934742,196558,720,34600428,101,1,0
Construction Graphics Frontier,771,7,57613,4546,211646,122188,328348,276023,172199,776960,15170,27263,2179,898758,105651,865,14269657,108,1,1
Star Alpha Electronics,599,7,43392,103660,167592,84322,89683,261527,65177,37476,132224,80597,12324,500709,129633,799,33865964,103,1,1
Hardware Net Interactive,835,7,52032,121019,167592,63356,277690,44304,79381,436456,139741,76735,13408,464731,262557,857,833117,194,1,1
Industries Software Hardware,5405,7,96543,52327,281710,116280,34033,184181,64203,51816,31012,54268,8561,398697,96983,714,29969834,125,1,1
Resource Software Atlantic,711,7,40402,64439,281710,102987,528554,20566,212376,484247,93946,17045,12627,864483,194567,779,2893573,106,1,0
Internet Interactive Provider,953,7,165181,16251,34603,19558,457907,69730,61867,1107394,94839,43730,11311,609062,173515,1138,12820075,151,1,1
Analysis Digital Pacific,631,6,160875,56192,402157,22251,502828,20462,175867,412607,6823,89905,17301,721408,131388,339,1415511,-1,1,1
Pacific Electronics Hill,364,7,184262,19717,34603,19534,457918,69725,61904,1107428,94816,43752,11255,609081,173529,1234,14644934,123,1,1
Pacific Medicine Studio,356,7,24079,19717,76796,95085,442604,34031,59042,785111,74742,9859,15951,630762,143407,773,7165165,42,1,0
South Source Internet,1220,7,54469,115552,76796,9722,93087,179231,75576,841335,69433,40160,964,357616,261941,396,21168360,126,1,1
Consulting Construction Direct,2180,7,146124,71940,423722,19274,467939,340744,38999,1155402,21516,86457,20794,866956,137347,85,17740429,96,1,1
Data Network Design,2180,7,26365,32555,360146,14931,574599,293705,187618,1189029,72677,75673,13031,1070853,146760,610,50094934,32,1,1
Innovation Max Speed,1077,6,147568,58617,402157,22276,502801,20463,175910,412661,6805,89850,17321,721450,131438,380,2241065,19,1,1
Star Venture Federated,2350,7,134029,67927,423722,19274,467944,340797,38967,1155403,21522,86418,20822,866982,137395,99,15720923,55,1,1
South Direct Source,1297,7,66248,67067,281710,116278,342268,161217,127500,255276,8734,63141,16202,747263,160408,795,19964857,58,1,1
Atlantic Alpha Pacific,5371,7,80099,42359,281710,116296,33972,184152,64199,51837,31009,54198,8521,398619,96967,759,29192281,93,1,1
Universal Power Hill,210,7,75921,101595,121123,25575,234798,179989,190137,65984,72213,66464,11568,630499,169016,913,29059745,91,1,1
Power Source Telecom,1999,7,131782,35560,281710,25167,441256,146617,119351,254103,7311,112742,5291,732391,79702,697,31985217,117,1,0
Hill Net Software,1999,7,44700,6003,442174,54013,343581,26265,191112,1016591,135572,10700,7590,614971,163693,997,9384415,93,1,1
Resource Source Adventure,3453,7,86742,118520,281710,27352,169937,86627,10270,325477,87044,68419,18110,294186,256326,940,1113419,39,1,1
Studio Net Power,440,7,88724,17837,449206,30012,353047,53959,37443,660209,132311,104791,9350,474461,214477,367,6049169,16,1,1
Star Data East,458,1,132012,17837,211646,98755,151751,34068,219711,1106758,15234,57413,18513,504285,87213,1039,5433192,49,1,1
Architecture Max Virtual,458,7,26280,45829,449206,47233,428074,109695,41833,341507,1159529,16668,17175,626835,106389,394,30939714,100,1,1
Software Max Industries,931,7,103116,23344,449206,30004,353050,53983,37423,660213,132359,104818,9378,474460,214481,377,7455202,34,1,1
Innovation Contract Digital,1014,7,59061,40478,281710,85036,157461,53998,126268,660226,140063,1740,9691,422763,259278,701,3980020,170,1,1
Telecom Analysis Graphics,420,7,119342,40478,403576,36680,61596,337190,190532,989859,67658,40015,20104,625998,125376,220,1909370,60,1,1
Alpha Innovation Net,420,7,31640,31234,140849,47418,215841,321401,90221,385972,8931,59228,13362,674881,261760,1060,17609244,127,1,1
Source Omega Advanced,217,7,45295,73265,360146,68245,82422,169047,180044,425451,72189,70649,14731,499758,194264,531,20821248,169,1,1
North Virtual Studio,2268,7,142283,74229,423722,19291,467985,340797,38948,1155461,21488,86423,20801,867021,137404,82,15156560,105,1,1
Frontier Advanced Max,639,7,72076,44075,34603,101303,342354,29774,241384,345599,62428,21325,9969,714815,74979,987,6033411,82,1,1
Advanced Interactive Virtual,1056,7,60277,121742,19576,1301,560346,71946,233546,776155,61060,89696,2522,867139,243531,657,6493176,80,1,1
Direct Contract Source,352,7,98551,65274,217535,111273,294268,249841,244769,921585,59007,71336,7960,900151,267261,523,6471191,60,1,0
Systems Speed Galaxy,895,7,117662,105978,281710,47099,449059,256934,181709,1178445,3811,69504,5808,934801,196643,628,35327980,141,1,0
Power Hill Future,601,7,158959,105978,225721,114161,568104,87078,158001,660263,141720,52382,9718,927344,240807,966,31537643,106,1,1
General Federated Resource,324,7,91257,105978,19576,59416,177348,236733,168200,661097,54719,89460,17145,641697,99742,363,59222918,107,1,1
Resource Universal Application,211,7,70247,37292,360146,16602,76298,40758,39237,194107,101383,2055,3772,172895,89979,576,-3127032,57,1,1
Alpha Direct Electronic,631,7,56144,46659,34603,101243,342401,29753,241372,345654,62440,21380,9935,714769,74924,1032,4263081,58,1,1
Source Power Graphics,979,7,176492,120276,192313,103338,566282,114296,237638,377039,120160,73685,12590,1021554,250440,296,27097066,102,1,1
Source Net West,422,7,168298,120276,225721,114142,568096,87102,158032,661107,141782,52395,9667,927372,240808,992,32137849,53,1,1
Electronics Interactive Consulting,901,7,33627,64464,281710,102993,528598,20594,212411,484225,93946,17079,12598,864596,194597,603,4239476,113,1,0
Electronic Graphics North,1328,7,85855,64464,403576,7334,494775,13790,184123,222853,57084,103193,14403,700022,130361,623,3354501,96,0,1
Design People Net,1328,7,166210,64464,167592,104206,418738,324581,24319,1064666,132211,100515,19277,871844,195492,699,20427652,54,1,1
Electronics Future Federated,1022,7,63996,36806,20214,80371,502317,229187,78440,733661,130438,21231,13048,890315,86753,913,37922412,56,1,1
Telecom Internet Virtual,1170,5,108348,36806,9795,112024,116242,118975,63112,1076984,10171,23158,5039,410353,74270,623,70730173,125,1,1
Digital Provider South,2599,7,127237,70313,423722,19297,467952,340757,39005,1155417,21456,86452,20803,867011,137389,100,16298065,80,1,1
East Electronics Source,2599,7,25662,35088,360146,14929,574623,293634,187635,1189046,72688,75689,13043,1070821,146656,593,51930494,33,1,1
Design Atlantic Design,459,7,134607,35088,9795,113370,317142,78643,92310,202174,99185,77489,19155,601465,92448,621,8930741,127,1,0
Construction Analysis Star,580,3,75080,35088,196511,49286,322501,204951,236514,1189586,111408,89868,2614,813252,123868,725,10652242,133,1,0
Graphics Bell Source,360,3,150810,48303,196511,100222,338955,204894,20847,1157908,38808,9375,5664,664918,147336,461,13734887,54,1,1
Design Electronics Power,839,7,158250,48303,225721,114106,568054,87103,157981,660264,141781,52423,9661,927244,240878,972,35427206,40,1,1
Adventure Data Max,839,7,30212,41265,360146,14918,574573,293670,187643,1189020,72656,75653,13031,1070804,146794,542,51758852,80,1,1
Adventure Omega Innovation,640,7,66060,70041,291340,47812,214502,86579,127000,467376,30977,19693,4790,475893,59311,754,8287965,114,1,1
Omega East Bell,640,7,29168,34123,360146,14895,574580,293650,187607,1189040,72630,75692,13073,1070732,146790,576,51257918,28,1,1
Vision Electronics Signal,343,7,66448,103079,121123,25589,234821,180004,190132,65972,72216,66462,11525,630546,169081,954,33382621,80,1,1
East Federated Consulting,1322,7,133988,36820,281710,25177,441252,146613,119316,254096,7351,112726,5275,732358,79622,615,35444155,94,1,0
Research Studio Telecom,1091,7,78495,34734,360146,85055,157473,53998,126312,660237,140040,1774,9659,422838,259331,661,4412536,147,1,1
Atlantic Star Hill,346,7,71221,33143,20214,80415,502393,229167,78422,733646,130403,21215,13082,890397,86740,824,30095458,52,1,1
Architecture Vision Construction,389,7,68570,128722,403576,15304,370787,109718,147261,621226,45837,64468,11045,643070,92991,417,68567106,81,1,1
Contract Vision Studio,2256,7,143307,63057,423722,19240,467953,340784,38959,1155446,21453,86388,20826,866936,137399,127,16582229,45,1,1
